['/home/shijiaying/caffe/mjzfile/datatest/val/trilobite/image_0009.jpg', 0]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0014.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0030.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0042.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0016.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0027.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0015.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0021.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/accordion/image_0044.jpg', 2]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0097.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0074.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0009.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0002.jpg', 30]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0047.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0023.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0045.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0094.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0022.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0078.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0026.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0069.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0036.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0073.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0055.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0068.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0083.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0012.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0056.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0010.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0029.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0070.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0065.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0067.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0063.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0080.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0064.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0054.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0035.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0088.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0004.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0051.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0057.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0037.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0020.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0053.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0003.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0024.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0089.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0093.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0090.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0062.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0007.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0005.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0008.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0091.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0030.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0042.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0027.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0041.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0071.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0032.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0077.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0076.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0060.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0058.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0052.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0021.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0044.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0001.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0086.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0038.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0095.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0072.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0040.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0066.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/brain/image_0006.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0009.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0018.jpg', 96]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0023.jpg', 3]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0045.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0026.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0043.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0050.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0011.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0010.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0029.jpg', 72]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0054.jpg', 15]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0004.jpg', 22]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0037.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0024.jpg', 85]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0049.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0014.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0034.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0016.jpg', 60]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0027.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0041.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0015.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0044.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/bass/image_0040.jpg', 4]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0074.jpg', 35]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0009.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0002.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0018.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0047.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0026.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0031.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0036.jpg', 60]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0055.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0061.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0068.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0050.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0056.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0011.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0010.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0065.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0067.jpg', 96]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0013.jpg', 9]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0063.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0054.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0035.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0051.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0037.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0053.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0059.jpg', 87]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0049.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0062.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0046.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0014.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0042.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0016.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0033.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0027.jpg', 48]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0071.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0032.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0028.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0048.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0060.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0058.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0021.jpg', 101]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0044.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0038.jpg', 44]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0072.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/umbrella/image_0066.jpg', 5]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0018.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0023.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0045.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0022.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0026.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0039.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0036.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0012.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0010.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0029.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0013.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0004.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0037.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0020.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0053.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0003.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0025.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0005.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0017.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0014.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0030.jpg', 26]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0041.jpg', 39]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0028.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0058.jpg', 49]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0052.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0044.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0001.jpg', 6]
['/home/shijiaying/caffe/mjzfile/datatest/val/cellphone/image_0040.jpg', 45]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0074.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0002.jpg', 85]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0018.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0023.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0045.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0022.jpg', 52]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0026.jpg', 87]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0031.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0069.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0055.jpg', 96]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0061.jpg', 85]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0068.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0083.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0050.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0056.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0011.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0029.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0070.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0065.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0080.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0064.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0082.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0035.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0051.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0057.jpg', 7]
['/home/shijiaying/caffe/mjzfile/datatest/val/starfish/image_0020.jpg', 7]
